工厂,产品名称,产品规格,月份,产量(盒),直接人工总额(元),总工时(小时),生产人数(人),工作天数(天)
中药一厂,银黄口服液,10ml×10支/盒,2026-01,10000,20000.0,1000,10,20
中药一厂,银黄口服液,10ml×10支/盒,2026-02,10100,20200.0,1000,10,20
中药一厂,银黄口服液,10ml×10支/盒,2026-03,10200,20400.0,1000,10,20
中药一厂,银黄口服液,10ml×10支/盒,2026-04,10300,20600.0,1000,10,20
中药一厂,银黄口服液,10ml×10支/盒,2026-05,10400,20800.0,1000,10,20
中药一厂,银黄口服液,10ml×10支/盒,2026-06,10500,21000.0,1000,10,20
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,11000,22000.0,1000,10,20
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,11100,22200.0,1000,10,20
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,11200,22400.0,1000,10,20
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,11300,22600.0,1000,10,20
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,11400,22800.0,1000,10,20
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,11500,23000.0,1000,10,20
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,12000,24000.0,1000,10,20
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,12100,24200.0,1000,10,20
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,12200,24400.0,1000,10,20
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,12300,24600.0,1000,10,20
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,12400,24800.0,1000,10,20
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,12500,25000.0,1000,10,20
