工厂,产品名称,产品规格,月份,产量(盒),费用类别,单位费用(元/盒),费用总额(元)
中药一厂,银黄口服液,10ml×10支/盒,2026-01,10000,折旧费,0.6,6000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-01,10000,水电费,0.4,4000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,10100,折旧费,0.6,6060.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,10100,水电费,0.4,4040.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,10200,折旧费,0.6,6120.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,10200,水电费,0.4,4080.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,10300,折旧费,0.6,6180.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,10300,水电费,0.4,4120.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,10400,折旧费,0.6,6240.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,10400,水电费,0.4,4160.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,10500,折旧费,0.6,6300.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,10500,水电费,0.4,4200.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,11000,折旧费,0.6,6600.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,11000,水电费,0.4,4400.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,11100,折旧费,0.6,6660.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,11100,水电费,0.4,4440.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,11200,折旧费,0.6,6720.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,11200,水电费,0.4,4480.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,11300,折旧费,0.6,6780.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,11300,水电费,0.4,4520.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,11400,折旧费,0.6,6840.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,11400,水电费,0.4,4560.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,11500,折旧费,0.6,6900.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,11500,水电费,0.4,4600.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,12000,折旧费,0.6,7200.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,12000,水电费,0.4,4800.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,12100,折旧费,0.6,7260.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,12100,水电费,0.4,4840.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,12200,折旧费,0.6,7320.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,12200,水电费,0.4,4880.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,12300,折旧费,0.6,7380.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,12300,水电费,0.4,4920.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,12400,折旧费,0.6,7440.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,12400,水电费,0.4,4960.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,12500,折旧费,0.6,7500.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,12500,水电费,0.4,5000.0
