工厂,产品名称,产品规格,月份,产量(盒),原材料名称,单位消耗成本(元/盒),原材料总成本(元),占总材料成本比例
中药一厂,银黄口服液,10ml×10支/盒,2026-01,10000,金银花,3.6,36000.0,60%
中药一厂,银黄口服液,10ml×10支/盒,2026-01,10000,黄芩,2.4,24000.0,40%
中药一厂,银黄口服液,10ml×10支/盒,2026-02,10100,金银花,3.63,36663.0,60%
中药一厂,银黄口服液,10ml×10支/盒,2026-02,10100,黄芩,2.42,24442.0,40%
中药一厂,银黄口服液,10ml×10支/盒,2026-03,10200,金银花,3.66,37332.0,60%
中药一厂,银黄口服液,10ml×10支/盒,2026-03,10200,黄芩,2.44,24888.0,40%
中药一厂,银黄口服液,10ml×10支/盒,2026-04,10300,金银花,3.69,38007.0,60%
中药一厂,银黄口服液,10ml×10支/盒,2026-04,10300,黄芩,2.46,25338.0,40%
中药一厂,银黄口服液,10ml×10支/盒,2026-05,10400,金银花,3.72,38688.0,60%
中药一厂,银黄口服液,10ml×10支/盒,2026-05,10400,黄芩,2.48,25792.0,40%
中药一厂,银黄口服液,10ml×10支/盒,2026-06,10500,金银花,3.75,39375.0,60%
中药一厂,银黄口服液,10ml×10支/盒,2026-06,10500,黄芩,2.5,26250.0,40%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,11000,金银花,3.66,40260.0,60%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,11000,黄芩,2.44,26840.0,40%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,11100,金银花,3.69,40959.0,60%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,11100,黄芩,2.46,27306.0,40%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,11200,金银花,3.72,41664.0,60%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,11200,黄芩,2.48,27776.0,40%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,11300,金银花,3.75,42375.0,60%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,11300,黄芩,2.5,28250.0,40%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,11400,金银花,3.78,43092.0,60%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,11400,黄芩,2.52,28728.0,40%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,11500,金银花,3.81,43815.0,60%
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,11500,黄芩,2.54,29210.0,40%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,12000,金银花,3.72,44640.0,60%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,12000,黄芩,2.48,29760.0,40%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,12100,金银花,3.75,45375.0,60%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,12100,黄芩,2.5,30250.0,40%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,12200,金银花,3.78,46116.0,60%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,12200,黄芩,2.52,30744.0,40%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,12300,金银花,3.81,46863.0,60%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,12300,黄芩,2.54,31242.0,40%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,12400,金银花,3.84,47616.0,60%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,12400,黄芩,2.56,31744.0,40%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,12500,金银花,3.87,48375.0,60%
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,12500,黄芩,2.58,32250.0,40%
