工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药一厂,银黄口服液,10ml×10支/盒,2026-01,10000,6.0,2.0,1.0,9.0,90000.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,10100,6.05,2.0,1.0,9.05,91405.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,10200,6.1,2.0,1.0,9.1,92820.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,10300,6.15,2.0,1.0,9.15,94245.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,10400,6.2,2.0,1.0,9.2,95680.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,10500,6.25,2.0,1.0,9.25,97125.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,11000,6.1,2.0,1.0,9.1,100100.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,11100,6.15,2.0,1.0,9.15,101565.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,11200,6.2,2.0,1.0,9.2,103040.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,11300,6.25,2.0,1.0,9.25,104525.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,11400,6.3,2.0,1.0,9.3,106020.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,11500,6.35,2.0,1.0,9.35,107525.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,12000,6.2,2.0,1.0,9.2,110400.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,12100,6.25,2.0,1.0,9.25,111925.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,12200,6.3,2.0,1.0,9.3,113460.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,12300,6.35,2.0,1.0,9.35,115005.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,12400,6.4,2.0,1.0,9.4,116560.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,12500,6.45,2.0,1.0,9.45,118125.0
