工厂,产品名称,产品规格,月份,预算产量(盒),预算直接材料(元/盒),预算直接人工(元/盒),预算制造费用(元/盒),预算单位成本(元/盒),预算总成本(元)
中药一厂,银黄口服液,10ml×10支/盒,2026-01,10500,6.0,2.0,1.0,9.0,94500.0
中药一厂,银黄口服液,10ml×10支/盒,2026-02,10600,6.05,2.0,1.0,9.05,95930.0
中药一厂,银黄口服液,10ml×10支/盒,2026-03,10700,6.1,2.0,1.0,9.1,97370.0
中药一厂,银黄口服液,10ml×10支/盒,2026-04,10800,6.15,2.0,1.0,9.15,98820.0
中药一厂,银黄口服液,10ml×10支/盒,2026-05,10900,6.2,2.0,1.0,9.2,100280.0
中药一厂,银黄口服液,10ml×10支/盒,2026-06,11000,6.25,2.0,1.0,9.25,101750.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-01,11500,6.1,2.0,1.0,9.1,104650.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-02,11600,6.15,2.0,1.0,9.15,106140.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-03,11700,6.2,2.0,1.0,9.2,107640.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-04,11800,6.25,2.0,1.0,9.25,109150.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-05,11900,6.3,2.0,1.0,9.3,110670.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-06,12000,6.35,2.0,1.0,9.35,112200.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,12500,6.2,2.0,1.0,9.2,115000.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,12600,6.25,2.0,1.0,9.25,116550.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,12700,6.3,2.0,1.0,9.3,118110.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,12800,6.35,2.0,1.0,9.35,119680.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,12900,6.4,2.0,1.0,9.4,121260.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,13000,6.45,2.0,1.0,9.45,122850.0
