工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药二厂,银黄口服液,10ml×10支/盒,2025-01,10000,6.42,2.14,1.07,9.63,96300.0
中药二厂,银黄口服液,10ml×10支/盒,2025-02,10100,6.47,2.14,1.07,9.68,97768.0
中药二厂,银黄口服液,10ml×10支/盒,2025-03,10200,6.53,2.14,1.07,9.74,99348.0
中药二厂,银黄口服液,10ml×10支/盒,2025-04,10300,6.58,2.14,1.07,9.79,100837.0
中药二厂,银黄口服液,10ml×10支/盒,2025-05,10400,6.63,2.14,1.07,9.84,102336.0
中药二厂,银黄口服液,10ml×10支/盒,2025-06,10500,6.69,2.14,1.07,9.9,103950.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-01,11000,6.53,2.14,1.07,9.74,107140.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-02,11100,6.58,2.14,1.07,9.79,108669.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-03,11200,6.63,2.14,1.07,9.84,110208.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-04,11300,6.69,2.14,1.07,9.9,111870.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-05,11400,6.74,2.14,1.07,9.95,113430.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-06,11500,6.79,2.14,1.07,10.0,115000.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,12000,6.63,2.14,1.07,9.84,118080.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,12100,6.69,2.14,1.07,9.9,119790.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,12200,6.74,2.14,1.07,9.95,121390.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,12300,6.79,2.14,1.07,10.0,123000.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,12400,6.85,2.14,1.07,10.06,124744.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,12500,6.9,2.14,1.07,10.11,126375.0
